,src,mt,ref,correctness,repetitions,named-entities,omission,strong-unsupport,full-unsupport
3089,Das Personal wurde am Flan-Wetten zum Nachtisch mit F.,The staff were very friendly and helpful.,The staff was betting on Flan for dessert with F.,0,0,0,0,1,0
3090,Gleichstellung mit den Rechtsanwälten des Aufnahmestaats,Gender equality with host country lawyers,Integration as a lawyer in the host Member State,0,0,0,0,0,0
3091,"Ich finde es unverzeihlich, daß wir ein Ein-Millionen-Dächer-Solarprogramm fordern, aber weder in Straßburg noch in Brüssel in erneuerbare Energien investiert haben und hier keinerlei Energieeinsparung betreiben: Beispielsweise sind die Vorkammern zu unseren Büros Tag und Nacht beleuchtet und lassen sich nicht ausschalten und ähnliches.",I find it unforgivable that we are calling for a one-million-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand-thousand,"I find it unforgivable that we call for a One Million Roofs Solar Programme, but we have not invested in renewable energy either in Strasbourg or Brussels and have not adopted the slightest energy-saving procedures here: for example, the vestibules to our offices are lit up day and night and the lights cannot be switched off, and so forth.",0,1,0,0,1,0
3092,"Bin leider noch immer nicht ganz fertig damit (tja wie gesagt nicht so einfach dies vom Fahrrad aus in Asien zu machen)... habt etwas geduld, ich hab das gefuehl, dass sich der Umzug sehr gelohnt hat.",The staff were very friendly and helpful. The room was clean and comfortable.,"Sadly I'm still not finished with everything (like I said, it is not so easy to do this during my cycling trip in asia)... be patient, I think that the host change was a good idea.",0,0,0,0,0,1
3093,"Scherzhaft bezeichnet Irene de Navarro diesen Teil ihrer Arbeit als ""gemaltes Familienalbum"".","She has also appeared in a number of films, including ""Made Family Album"" and ""Made Family Album.""","Jokingly, Irene de Navarro describes this part of her work as her ""painted family album.""",0,1,0,0,1,0
3094,Die Minister wiesen mit Nachdruck hin auf,Ministers stressed,The Ministers emphasised:,0,0,0,1,0,0
3095,(Ergebnisse der Abstimmung: s. Protokoll),(For results of the vote: p. Minutes),(For the results of the vote: see Minutes),1,0,0,0,0,0
3096,So sieht es der Gemeinderat von Huttwil (BE).,This is what the municipal council of Huttwil (BE) sees.,"The contributions to the campaign ""Lève-toi!",1,0,0,0,0,0
3097,Das Seminar- und Eventhotel im Helenental in Baden...,The seminar and event hotel in the Helenental in Baden...,....immerse in the colours of the rainbow...,1,0,0,0,0,0
3098,Unsere Gießerei befindet sich in Zaczernie.,Our foundry is located in Zac groupie.,The firm is located in Zaczernie.,0,0,1,0,0,0
3099,Die ersten Erwaehnungen an der Stadt verhalten sich zum V. Jh.,The first increases in the city are in line with the V.J.,It was first mentioned in the V century B.C.,1,0,0,0,0,0
3100,Die Antwort dagegen weniger.,"The answer, however, is less.",The answer is not so simple.,0,0,0,0,0,0
3101,"Es herrscht die weit verbreitete Ansicht, dass es pakistanischen Frauen schwer hätten, wenn es darum geht, Bildung zu erlangen.",There is a widespread belief that Pakistani women would have difficulty in obtaining education.,There is a widespread belief that Pakistani women are doing poorly when it comes to obtaining education.,1,0,0,0,0,0
3102,Das Ergebnis haben sie.,They have the result.,We know the outcome.,1,0,0,0,0,0
3103,"Er bittet die Kommission,",It asks the Commission to:,It invites the Commission to:,1,0,0,0,0,0
3104,"Deshalb entstanden bei der Produktion Stockungen, viel Ausfall und andere zahlreiche Schwierigkeiten.","As a result, production has been stalled, a great deal of failure and many other difficulties.","The consequences were: interrupted production, a lot of waste and several other problems.",1,0,0,0,0,0
3105,Ab da ging es Schlag auf Schlag.,"From that point on, the blow was blowing.",From that moment things went fast.,0,0,0,0,0,0
3106,Ich weise das strikt von mir!,I know this strictly from me!,I utterly repudiate that!,0,0,0,0,0,0
3107,"Der alte Roller hat den Lenker nicht nur genügend hoch, aber auch leicht nach hinten zum Fahrer geneigt.",The old scooter tends the driver not only high enough but also slightly backwards.,The old scooter has handle bars not only enough high but as well inclined closer to rider.,1,0,0,0,0,0
3108,Weiter geht es mit den recht soften Spielereien mit Karen und ihren Freundinnen.,We continue with the pretty softer games with Karen and her girlfriends.,Here is for you as promised the second part of the games with Karen and her girlfriends.,0,0,0,0,0,0
3109,Unsere Pauschalangebote in Linienfahrten sind insbesondere auf Busreisende zugeschnitten.,Our package offers for scheduled journeys are tailored to the needs of the bus and coach traveler.,This information is especially for groups travelling by bus.,1,0,0,0,0,0
3110,"Das Ergebnis je Aktie (EPS) nach Minderheiten und Steuern betrug 0,15 EUR (Vorjahreswert: -0,01 EUR).",Earnings per share (EPS) by minority and tax amounted to €0.15 (previous year: €0.01).,Earnings per share (EPS) after minority interests and taxes amounted to EUR 0.15 (prior year: EUR -0.01).,0,0,1,0,0,0
3111,Was bedeutet in Kürze?,What does this mean in the near future?,How soon is shortly?,0,0,0,0,0,0
3112,"Berlin, das in den achtziger Jahren geographisch noch an der Peripherie der Europäischen Gemeinschaft lag, ja, das in den Augen einiger ein Außenposten zu einer anderen Welt war, dieses Berlin ist heute auf dem Wege,","Berlin, which in the 1980s was still geographically on the periphery of the European Community,","In the eighties Berlin was still, geographically, on the edge of the European Community - to some people an outpost in another Europe.",0,0,0,1,0,0
3113,Ein reichhaltiges Frühstück stimmt auf den Berlinbesuch ein.,The staff were very friendly and helpful.,An oasis of peace at the heart of a pulsating city.,0,0,0,0,0,1
3114,Auf den jeweiligen Dorfplätzen finden sich Alt und Jung zum Schwätzchen und zum Feiern zusammen.,Old and young people will find themselves together in the village's respective squares for fun and fun.,"On both places, young and old meet each other to have a chat or to celebrate together.",0,1,0,0,0,0
3115,Was wird man also tun?,So what will be done?,So what will we do then?,1,0,0,0,0,0
3116,Freundliches Hotel von 3 Sternen kocht familiär und gut umgebend.,The staff were very friendly and helpful. The room was clean and comfortable.,Cosy Hotel of 3 stars acclimates relative and good kitchen.,0,0,0,0,1,0
3117,April 1996 in Luxemburg stattgefunden.,Luxembourg.,"on the other hand, was held in Luxembourg on 22 April 1996.",0,0,0,1,1,0
3118,Der Vorschlag bezweckt,The proposal aims to:,The proposal aims at:,1,0,0,0,0,0
3119,"Sehr geehrter Herr Präsident, meine Damen und Herren,","Mr President, ladies and gentlemen,","Mr President, Ladies and Gentlemen,",1,0,0,0,0,0
3120,Fuehle DICH frei zu fragen wie ....,Do not hesitate to ask how ....,want to feel that life has meaning?,1,0,0,0,0,0
3121,Von jedem Waggon wird während der Fahrt ein Standbild aufgenommen das später zum Verkauf angeboten werden kann.,"From each wagon, a booth image is taken during the journey, which can be offered for sale later.",Each railroad car is triggering the video camera and a fixed image is taken which can be offered and sold afterwards.,1,0,0,0,0,0
3122,(Der amtierende Ratspräsident stimmt zu.),(The President-in-Office of the Council agreed),(The President-in-office of the Council agreed),1,0,0,0,0,0
3123,Die Artikel können damit vollflächig beschichtet oder nur bestimmte Dekorelemente mit Leuchtfarben gestaltet werden.,The articles can thus be coated in full-floor or designed only for certain deco elements with light colours.,"The articles can be entirely coated, or the design may include only some decoration elements in luminous colours.",0,0,0,0,0,0
3124,"Ich habe es versucht, doch es ging nicht.","I tried it, but it did not work.",I attempted to contact an official.,1,0,0,0,0,0
3125,"24-Stunden-Rezeption, Nichtraucherzimmer, behindertengerechte Zimmer, Fahrstuhl, schnelles Ein-/Auschecken, Hotelsafe, Gepäckzimmer, Geschäfte im Hotel, Zimmerservice, Konferenz- und Veranstaltungsräume, Business Center, Baby-/Kinderbetreuung, Wäscheservice, chemische Reinigung, Friseur / Schönheitssalon, VIP-Bereich, Frühstück im Zimmer, Bügelservice, Devisenwechsel, Souvenirladen, Schuhputzmaschine/-service, Autovermietung, Informationsschalter für Ausflüge, Fax- u. Fotokopiereinrichtungen, Ticket-Service.","24-Hour Front Desk, Non-Smoking Rooms, Rooms/Facilities for Disabled Guests, Elevator, Express Check-In/Check-Out, Safety Deposit Box, Luggage Room, Shops in Hotel, Room Service, Meeting/Banquet Facilities, Business Centre, Babysitting/Child Services, Laundry, Dry Cleaning, Barber/ Beauty Shop, VIP Room Facilities, Breakfast in the Room, Ironing Service, Currency Exchange, Souvenirs/Gift Shop, Shoe Shine, Car Rental, Tour Desk, Fax/Photocopying, Ticket Service.","24-Hour Front Desk, Non-Smoking Rooms, Rooms/Facilities for Disabled Guests, Elevator, Express Check-In/Check-Out, Safety Deposit Box, Luggage Storage, Shops in Hotel, Room Service, Meeting/Banquet Facilities, Business Centre, Babysitting/Child Services, Laundry, Dry Cleaning, Barber/Beauty Shop, VIP Room Facilities, Breakfast in the Room, Ironing Service, Currency Exchange, Souvenirs/Gift Shop, Shoe Shine, Car Rental, Tour Desk, Fax/Photocopying, Ticket Service. Private parking is possible on site and charges are applicable.",1,0,0,0,0,0
3126,"Wir sollten aufhören, uns da etwas vorzumachen.",Let us stop deluding ourselves.,Let us stop burying our heads in the sand.,1,0,0,0,0,0
3127,An zu uns gehörte Inmobilien betreiben wir Privatunterkünfte.,We have private accommodation in our home country.,At our several real estate we offer accomodations.,0,0,0,0,0,0
3128,Die Spukhaftigkeit der Realität,Reality's Spuriousness,The Spookiness of Reality,1,0,0,0,0,0
3129,Alistair DARLING Schatzkanzler,Alistair DARLING Chancellor of the Treasury,Mr Alistair DARLING Chancellor of the Exchequer,1,0,0,0,0,0
3130,Ich nehme an der Besprechung morgen nicht teil.,I am not taking part in the discussion tomorrow.,My father was a farmer too.,1,0,0,0,0,0
3131,"Es wird für die historische Mitte, deren Kompaktheit e ' zu allen Effekten überprüfte, eine umreiß zur Radialentwicklung gefunden deren Hauptdirektor festsetzte, den, e ' über Rom gibt, während der Rest von dem angrenzenden gelebten zu ihm eine concentrico-aufwickelnentwicklung findet.","It is found for the historical center whose compactness e' verified on all effects, an outline of the radial development of which the main director established, e ', gives over Rome, while the rest of the adjacent lived to it finds a concentrico wrapping development.","It is found for the historical center, whose compactness e' verified to all the effects, an outline to radial development whose constituted main director e' gives Via Rome while the rest of the contiguous lived one to it finds one concentrico-wrapping development.",1,0,0,0,0,0
3132,"Grand Hotel Amrâth Amsterdam wird auf der Karte angezeigt, sobald sie JavaScript aktivieren.",A map will be shown here if you enable JavaScript.,Grand Hotel Amrâth Amsterdam will be shown on a map if you enable JavaScript.,0,0,0,0,0,0
3133,Sie lauten folgendermassen:,They are as follows:,They are the following:,1,0,0,0,0,0
3134,Nach dem Aufenthalt sendeten uns die Gäste folgende Bewertungen für Museum Hotel .,The guest reviews are submitted by our customers after their stay at Museum Hotel .,The guest reviews are submitted by our customers after their stay at Museum Hotel .,1,0,0,0,0,0
3135,Weitere Informationen sind unter folgender Internet-Adresse zu finden:,Further information can be found at:,More information can be found at the following internet address:,0,0,0,0,0,0
3136,Die Füllung gut mischen und nach Belieben salzen.,The filling is good mix and saline at will.,Mix the filling well and add salt to taste.,0,0,0,0,0,0
3137,"Wir werden alles tun, um Sie in die Lage zu versetzen, dies zu erreichen.",We will do everything possible to enable you to achieve this.,We will do all we can to create the conditions necessary for success.,1,0,0,0,0,0
3138,"Dieser Mensch schient gut aus, spricht Englisch in der Regel leidlich, hat Schliff.","This person works well, speaks English as a rule tiresome, has loop.","This Russian is well-mannered, good-looking and speaks English fairly well.",0,0,0,0,0,0
3139,Und gleichzeitig haben wir einen Stillstand im Friedensprozess?,"At the same time, do we have a standstill in the peace process?","Yet, at the same time, we have a standstill in the peace process.",1,0,0,0,0,0
3140,Verantwortungsvolle Staatsführung und Rechtsstaatlichkeit,Good Governance and the Rule of Law,Good Governance and Rule of Law,1,0,0,0,0,0
3141,Sie wollen einfach an zu weinen nicht weinen nicht populär.,They simply want to weep not weep not popular.,They just want to cry do not cry popular.,1,0,0,0,0,0
3142,Ein einfaches und leckeres Gebäck mit 100% Geling-Garantie.,A simple and tasty pastry with 100% Yellow Guarantee.,An easy and tasty pastry you will 100% succeed in baking at the first attempt.,0,0,0,0,0,0
3143,Verbrauchssteuern sind Abgaben mit politischer Zielsetzung.,Excise duties are political levies.,Excise duties are taxes designed to achieve political objectives.,0,0,0,0,0,0
3144,"Die EdW ist jedoch bemüht, bei unverändert hohem Einsatz den Bearbeitungszeitraum zwischen Antragseingang und Versand der Eingangsbestätigung zu verkürzen.","However, EdW endeavours to shorten the processing period between the receipt of the application and the dispatch of the receipt confirmation if the work is carried out at an unchanged high level.",EdW is making every effort to shorten processing times and to reduce the period from the receipt of claims until the dispatch of the confirmation of receipt.,0,0,0,1,0,0
3145,"Durch dieses Darlehensinstrument sollen die Unternehmen der Kultur- und Kreativbranche, bei denen es sich zu 80% um kleine und mittlere Unternehmen handelt, leichter Zugang zu Finanzmitteln erhalten.","This loan instrument will facilitate access to finance for cultural and creative enterprises, 80% of which are small and medium-sized enterprises.","This loan instrument was designed to facilitate access to finance by cultural and creative enterprises, 80% of which are small and medium-sized enterprises.",1,0,0,0,0,0
3146,"Den Plan einer gemeinsamen Währung aufgeben.-Maßnahmen in den einzelnen Mitgliedstaaten der EU finden, mit denen die Beschäftigung verbessert und die Armut verringert werden kann.-Daß die Erweiterung der Union mit Staaten, die der früheren Sowjetunion angehörten und beitreten möchten, so schnell wie möglich geschieht.-Die Geschwindigkeit der Reform der gemeinsamen Landwirtschaftspolitik muß erhöht werden.Außerdem muß der Europäische Rat Albanien, Weißrußland und der Türkei deutlich sagen, daß ihre Verletzungen der Freiheits- und Menschenrechte, die in ihren Ländern jetzt vor sich gehen, ihrer Zusammenarbeit mit der Europäischen Union sehr schaden.","In addition, the European Council must make it clear to Albania, Belarus and Turkey that their violations of the freedoms and human rights that are now taking place in their countries are very detrimental to their cooperation with the European Union.","Shelving plans for a common currency.-Measures in the respective Member States of the EU to increase employment and alleviate poverty.-Ensuring that the enlargement of the Union to include states which wish to join and which used to be part of the former Soviet bloc takes place as quickly as possible.-Speeding up the rate of reform of the Common Agricultural Policy.The European Council should also make it very clear to Albania, Belarus and Turkey that their cooperation with the European Union is being severely damaged by the infringements of human freedoms and rights which are now occurring in these countries.",0,0,0,1,0,0
3147,Genehmigung des Protokolls,Approval of the Minutes,Approval of the Minutes,1,0,0,0,0,0
3148,"Typ - kann put ""unter dem Arm sein.","Type - can be put ""under the arm.","Type - can be put ""under his arm.",1,0,0,0,0,0
3149,Die Kammer umfangreiche schwieg und suchte Details.,The chamber swept wide and sought details.,"The room is large, quiet and refined in detail.",0,0,0,0,0,0
3150,Vereinzelt schlagen sich einheimische Darstellungsweisen im römischen Kunsthandwerk nieder.,The Roman craftsmen's handicrafts can be found in the local depictions.,Native traditions of representation occasionally become absorbed into Roman arts and crafts.,0,0,0,0,0,0
3151,Auch an die speziellen Wünsche von Brillenträgern wurde bei MINOX gedacht.,MINOX also remembers the special wishes of glass media.,Also the specific needs of people wearing glasses have been taken into account.,0,0,0,0,0,0
3152,"In Sachen Kondensator: Wenn man grad nix anderes hat, geht auch so ziemlich jeder andere Kondensator.","When it comes to capacitors, if you have grad nix other, almost every other capacitor goes.","Concerning condenser: If you don't have the right one any other does, too.",0,0,0,0,0,0
3153,"Weiter führte er aus: ""","He added: ""","He continued: """,1,0,0,0,0,0
3154,Viele liebe Grüße vom amerikanischem Teil der Schlabitzens.,Many dear greetings from the American part of the slot.,Best Wishes from the Schlabitz family.,0,0,0,0,0,0
3155,Berichtigungen des Stimmverhaltens und beabsichtigtes Stimmverhalten: siehe Protokoll,Corrections to votes and voting intentions: see Minutes,Corrections to votes and voting intentions: see Minutes,1,0,0,0,0,0
3156,"Haben Sie genug vom Rumjobben, das kaum etwas einbringt und Ihre ganze Zeit in Anspruch nimmt?",Do you have enough of rumjobbben that does little and takes up all your time?,Have you had enough of the usual bits of work that pay very little and take up all your time?,0,0,0,0,0,0
3157,Für das Wohl der Gäste ist in jeder Hinsicht gesorgt.,The guests are always at your disposal.,Our guests' well-being is taken care of in every way.,0,0,0,0,1,0
3158,"Die Delegation Chersoner IHK mit Vize-präsidentin Chersoner IHK hat einen geschäftlichen Besuch in Trabzon, Türkei abgestattet, um das Protokoll über die Partnerkammern zu unterfertigen.","The Chersoner IHK delegation, with Vice-President Chersoner IHK, has made a business visit to Trabzon, Turkey, to make the protocol on the partner chambers.","Mr. Ambassador had meetings in the Kherson Chamber of Commerce and Industry, in the Regional Library, and also visited recreation centers on the Black Sea coast of Kherson Region.",1,0,0,0,0,0
3159,Tätigkeit der Gemeinschaft im Bereich der Statistik I,Community Statistics I activity,Community action in the field of statistics I,1,0,0,0,0,0
3160,Dann absolviert ein bezahltes Online-Praktikant/in auf videogameszone.de.,Then completed a paid online trainee on videogameszone.de.,There's bound to be some romantic feelings ...,1,0,0,0,0,0
3161,"Die Vorgeschichte ist immer dieselbe: Sie führt in ein Frankfurter Hinterhofatelier, in dem Kunert mit kleinen Modellen die Welt auf den Kopf stellt.","The history is always the same: it leads to a Frankfurt Hinterhofatelier, in which Kunert turns the world upside down with small models.",Frank Kunert's studio in the Höchst district of Frankfurt is the center of the world for him.,1,0,0,0,0,0
3162,"Wer sich überlegt sich noch einen Bausatz zu zulegen, sollte ihn besser heute als morgen reservieren!","If you are thinking about building a building set, you should reserve it today rather than tomorrow!",The one who is thinking of getting one shall better reserve it today than tomorrow!,0,0,0,0,0,0
3163,Kfz-Kraftstoffbehälter und Unterfahrschutz,Car fuel tanks and under-protection,Motor vehicles and trailers,0,0,0,0,0,0
3164,Es gibt keine Einwände?,There are no objections?,There are no objections?,1,0,0,0,0,0
3165,Die wirkliche Gefahr liegt in der Globalisierung,Globalization's Real Threat,The Real Hazard of Globalization,0,0,0,0,0,0
3166,Wie stehen wir dazu?,How do we stand on this?,What progress are we making there?,0,0,0,0,0,0
3167,Darüber hinaus ist er als Beirat der Swiss Post Solutions GmbH und Senior Advisor der Droege & Comp.,He is also an Advisor to Droege & Comp as an Advisor to Swiss Post Solutions GmbH.,"Above that, he acts as an advisor at Swiss Post Solutions GmbH and is a Senior Advisor at Droege & Comp.",0,0,0,0,0,0
3168,"Sie ist bereits durch viele Länder Ost- und Südeuropas gereist, meistens per Liegerad oder auf einem Prototypen eines Liegeradtandems.","It has already travelled through many countries of Eastern and Southern Europe, mostly by bergerad or a pandemic of berger.",She has traveled through many countries of Eastern and South Europe. Mostly on recumbent bike or on the prototype of the recumbent tandem.,0,0,0,0,0,0
3169,Ich schreibe nach wie vor Texte ab.,I still write texts.,I am still the the moment copy texts.,0,0,0,0,0,0
3170,"Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!","Mr President, Commissioner, ladies and gentlemen.","Mr President, Commissioner, ladies and gentlemen.",1,0,0,0,0,0
3171,"Unter anderem ist es erforderlich,","Among other things,","Among other things, it is necessary:",1,0,0,0,0,0
3172,Ich verliere mich im einsamen Vergessen.,I lose myself in lonely oblivion.,And I lose myself in a lonely oblivion.,1,0,0,0,0,0
3173,"Im Hotel Mabi Maastricht erwarten Sie warme Gastfreundschaft und eine komfortable Umgebung, in der Sie sich wie zuhause fühlen werden.",Hotel Mabi Maastricht offers warm hospitality and a comfortable environment where you will feel at home.,"The hotel used to be a cinema. This is still visible in the breakfast room, where you can have an extensive breakfast buffet with fresh fruit.",1,0,0,0,0,0
3174,Freuen Sie sich auf schöne Ferien...,Enjoy a wonderful holiday...,Expect nice holidays in the Dolomites!,1,0,0,0,0,0
3175,"Lassen Sie ihn nicht zusammen Purzelbäume, slide zusammen, Fock gesetzt, und wenn die Show sehr viel länger dauern würde ihre Wähler, wenn enttäuscht, zu bestrafen.","Do not put him together short trees, slide put together, Fock, and if the show would take much longer to punish their constituents if disappointed.","Let him do somersaults together, slide together, jib set, and if the show would last much longer will their voters, if disappointed, to punish.",0,0,0,0,0,0
3176,Ich verdanke dem Bastgeweih mein Leben.,I owe my life to the Bastgeweih.,Its the Velvet that changed my life.,1,0,0,0,0,0
3177,"Sie stimmen dagegen, wir stimmen dafür, und die Geschichte wird darüber urteilen!","You are voting against, we are voting in favour, and history will judge it!","You will vote against, we will vote in favour, and History will be the judge!",1,0,0,0,0,0
3178,In unserem Hause werden überwiegend stationäre Heilmaßnahmen durchgeführt.,"In our house, a large part of the treatment is carried out in the hospital.","For the most part, we provide in-patient care at our clinic.",1,0,0,0,0,0
3179,"In beiden Fllen wurden die Gter mit Warenverkehrsbescheinigungen EUR.1 in die EU eingefhrt, die von den lokalen Behrden in den niederlndischen &Uuml;berseegebieten unter Verletzung des &Uuml;bersee-Assoziationsbeschlusses ausgestellt worden waren, welcher die Beziehungen der &Uuml;berseelnder und ‐gebiete mit der Union regelt.","In both cases, goods certificates of EUR.1 were imported into the EU by local authorities in the Dutch overseas territories in violation of the Overseas Association Decision which governs the relations of the overseas territories and territories with the Union.","In both cases the goods were imported to Europe with 'EUR.1' certificates, issued by the local authorities in the Dutch overseas territories in breach of the OCT Decision, which regulated the association of the OCT within the EU.",1,0,0,0,0,0
3180,Mitglied der Europäischen Kommission zuständig für Landwirtschaft und ländliche Entwicklung,Member of the European Commission responsible for Agriculture and Rural Development,Member of the European Commission responsible for Agriculture and Rural Development,1,0,0,0,0,0
3181,Dann kämen wir ein Stück weiter.,Then we will be able to make a little progress.,Then we would be getting somewhere.,1,0,0,0,0,0
3182,"Es muss dazu gesagt werden, dass all diese Tornister vor dem Zusammensetzen handgenäht werden.",It has to be said that all these thugs are hand-sewn before they are assembled.,It should be noted that these knapsacks are completely hand stitched before assembly.,0,0,0,0,0,0
3183,Die Bemerkung: Die gekennzeichneteangaben mit Stern sind verbindlichen!,Note: the signatures with a star are binding!,Notice: Data mark starlets they are obligatory allowances!,0,0,0,0,0,0
3184,"Zu diesem Zweck schlägt die Kommission vor,","To this end, the Commission proposes:","To that end, the Commission proposes:",1,0,0,0,0,0
3185,"Nun, dann schaut doch einfach mal zu.","Well, then just watch.",Take a closer look at it.,1,0,0,0,0,0
3186,Wirtschaftlicher und finanzieller Inhalt,Economic and financial content,Economic and financial content,1,0,0,0,0,0
3187,Die Widersprüche des kommunistischen Kapitalismus in China,China's Communist Capitalist Conclusions,The Contradictions of China's Communist Capitalism,1,0,0,0,0,0
3188,Anreise: Am Anreisetag steht Ihnen Ihr Zimmer ab 15.00 Uhr zur Verfügung.,Arrival: Your room will be available from 3 p.m. on the day of arrival.,Check-in: On the day of arrival your reserved room is available from 15.00 o'clock.,1,0,0,0,0,0
3189,"Zum ersten Mal handelt es sich dabei um einen einzigen Text, der sowohl die Wirtschafts- als auch die Beschäftigungspolitik umfasst.","For the first time, it is a single text covering both economic and employment policies.","For the first time, it consists of a single text for both economic and employment policies.",1,0,0,0,0,0
3190,"Besessen und Durchlauf durch die Bhasin Familie, pride er auf .......","Own and pass through the Bhasin Family, pride it on .......","Had and race by the family of Bhasin, they are glorifient on off .......",1,0,0,0,0,0
3191,"Stopfen aus PE für Normschliffe Stopfen aus PE, hohl mit Dichtringen und Achtkant-Griff.","Stop PE for standard PE stop, hollow with seal rings and eight-cant reefs.","Bungs PE Bungs for standard ground glass stopper cones, made of PE,...",0,0,0,0,0,0
3192,Das European Credit Transfer System ist ein europäisches System zur Anrechnung von erbrachten Studienleistungen.,The European Credit Transfer System is a European credit transfer system.,The European Credit Transfer System ECTS is a system for recognition of academic performance.,0,1,0,0,0,0
3193,"Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen!","Mr President, Commissioner, ladies and gentlemen.","Mr President, Mr Commissioner, ladies and gentlemen.",1,0,0,0,0,0
3194,"Hotel Belle Vue wird auf der Karte angezeigt, sobald sie JavaScript aktivieren.",A map will be shown here if you enable JavaScript.,Hotel Belle Vue will be shown on a map if you enable JavaScript.,0,0,0,1,0,0
3195,"Daß Orientierungen sein müssen für diese Diskussion, ist ohne jeden Zweifel richtig, und daß man Lehren aus dem Kohäsionsbericht zieht, ist ohne jeden Zweifel auch richtig.",There is no doubt that it is right to draw lessons from the cohesion report.,There is no doubt whatsoever that guidelines are required for this debate and it without doubt also right to draw lessons from the cohesion report.,0,0,0,1,0,0
3196,Der Junge hat Stellung in einem Hotel bekommen.,The staff were very friendly and helpful.,The boy got a job at a hotel.,0,0,0,0,0,1
3197,"Für mich als Strahlmittel Obama als gleichwertig zu leuchten, als Bush Jr.",To me as a radiator to shine Obama as equal as Bush Yr.,For me than blasting Obama as equivalent to shine as Bush Jr. No thank you ...,1,0,0,0,0,0
3198,"Nämlich systemische Herausforderungen, mit denen sowohl die Wirt­schafts- und Währungsunion als auch einzelne Länder konfrontiert sind.",These are systemic challenges facing both the Economic and Monetary Union and individual countries.,"Systemic challenges, both for the Economic and Monetary Union and for individual countries.",1,0,0,0,0,0
3199,"Insbesondere durch die aussergewöhnliche geographische Lage zeichnet sich die Soma Bay meist durch ein paar Bft mehr aus, als die nördlicheren Spots.",The Soma Bay is one of the most beautiful islands in the world.,"Particularly based on the remarkable geographical location, the Soma Bay features mostly with some more bft, as the northern spots.",0,0,0,1,1,0
3200,Handelt es sich teilweise auch um Beuteschiffe?,Is this partly also a question of slip-down vessels?,Are some of them captured ships?,0,0,0,0,0,0
3201,Unterstützung für Bananen exportierende AKP-Länder,Support to ACP banana exporting countries,Support for ACP banana exporting countries,1,0,0,0,0,0
3202,"Nach etwa einem Monat entstehen aus den weiblichen Blüten die sogenannten Hopfendolden, während die männlichen Blüten einfach verwelken.","After about a month, the so-called hop-end golden is formed from the female flowers, while the male flowers are simply blurred.","After about a month the female flowers develop into the hop ""cones,"" while the male flowers simply wither away.",0,0,0,0,0,0
3203,"Als meine Nachbarin eintraf, strahlte ich ihr vom Gehsteig aus entgegen.","When my neighbor arrived, I was looking forward to her.","As my neighbor drove up, I beamed from the sidewalk.",0,0,0,0,0,0
3204,Der geübte Vati schafft die ganze Piste und die Mutti fährt mit den Kindern im unteren Bereich.,The practiced Vati creates the whole piste and the Mutti runs with the children in the lower area.,"Dad will manage the whole slope, while mum and the kids have a ski on the lower section.",0,0,0,0,0,0
3205,Wir freuen uns auf Ihre Terminanfrage .,We look forward to hearing from you.,Just send us a meeting request .,0,0,0,0,0,0
3206,Im Parkhaus befinden sich 820 Parkplätze auf vier Etagen.,There are 820 parking spaces on four floors in the car park.,The parking building contains 820 bays over four levels.,1,0,0,0,0,0
3207,Wir stellen Ihnen kompetente Hilfe an die Seite!,We will provide you with competent help!,We Provide Professional Aid for You!,1,0,0,0,0,0
3208,Ideale Lage und der Ausgangspunkt für Tourismus und Radsport.,The staff were very friendly and helpful.,The situation of our facility is ideal as a starting point for hiking or cycling.,0,0,0,0,0,1
3209,Aber auch das Skifahren kommt nicht zu kurz.,There is no shortage of skiing either.,But of course there will also be the opportunity to ski.,1,0,0,0,0,0
3210,Ich selbst ...,I myself ...,I myself ...,1,0,0,0,0,0
3211,Hier wurden keine Pflanzen für die Viehwirtschaft abgeholzt oder weggerodet.,No plants for livestock farming have been cleared or destroyed.,No plants were felled or away cleared for the cattle ranching here.,1,0,0,0,0,0
3212,"Herr amtierender Ratspräsident, wollen Sie sich dazu äußern?","Mr President-in-Office of the Council, do you want to comment on this?","Mr President-in-Office of the Council, would you like to speak?",1,0,0,0,0,0
3213,Geben wir personenbezogene Daten an Dritte weiter?,Are we passing on personal data to third parties?,Do we refer personal data to a third party?,1,0,0,0,0,0
3214,"Danach wird ausgiebig gefrühstückt, bevor wir ganz locker die nur 11 Kilometer zum Ablegepunkt der Fähre in Angriff nehmen.","Afterwards, a lot of early morning is done before starting the 11 kilometres to the departure point of the ferry.","We then have an extended breakfast, before we go for the only 11 km to the ferry.",0,0,0,0,0,0
3215,Juli 1999 in Brüssel,"Brussels, 7th July 1999","Brussels, 19 July 1999",1,0,0,0,0,0
